Date,Load forecast,Generation forecast,Price
2017-01-05 06:00:00+01:00,74600.0,73054.0,54.09
2017-01-05 07:00:00+01:00,81300.0,77446.0,66.21
2017-01-05 08:00:00+01:00,85550.0,79797.0,69.7
2017-01-05 09:00:00+01:00,86100.0,79640.0,72.6
2017-01-05 10:00:00+01:00,86750.0,80016.0,73.03
2017-01-05 11:00:00+01:00,86450.0,80356.0,72.6
2017-01-05 12:00:00+01:00,86250.0,80303.0,72.54
2017-01-05 13:00:00+01:00,85550.0,79329.0,71.51
2017-01-05 14:00:00+01:00,83600.0,77601.0,71.1
2017-01-05 15:00:00+01:00,81200.0,76717.0,70.51
2017-01-05 16:00:00+01:00,80350.0,76638.0,69.7
2017-01-05 17:00:00+01:00,83050.0,79723.0,74.31
2017-01-05 18:00:00+01:00,87800.0,82319.0,96.93
2017-01-05 19:00:00+01:00,89200.0,82369.0,89.53
2017-01-05 20:00:00+01:00,85150.0,78992.0,73.69
2017-01-05 21:00:00+01:00,81100.0,77717.0,71.68
2017-01-05 22:00:00+01:00,79250.0,76328.0,66.76
2017-01-05 23:00:00+01:00,81300.0,76960.0,69.2
2017-01-06 00:00:00+01:00,77100.0,73225.0,59.58
2017-01-06 01:00:00+01:00,74650.0,71104.0,53.98
2017-01-06 02:00:00+01:00,74250.0,70018.0,52.11
2017-01-06 03:00:00+01:00,71700.0,69502.0,48.14
2017-01-06 04:00:00+01:00,70550.0,69052.0,46.74
2017-01-06 05:00:00+01:00,72250.0,69844.0,48.41
2017-01-06 06:00:00+01:00,77000.0,73565.0,53.29
2017-01-06 07:00:00+01:00,83750.0,78614.0,73.28
2017-01-06 08:00:00+01:00,87900.0,81831.0,86.03
2017-01-06 09:00:00+01:00,88450.0,81199.0,76.14
2017-01-06 10:00:00+01:00,88300.0,80705.0,72.86
2017-01-06 11:00:00+01:00,87700.0,81137.0,75.08
2017-01-06 12:00:00+01:00,86750.0,80568.0,84.9
2017-01-06 13:00:00+01:00,85750.0,78344.0,70.99
2017-01-06 14:00:00+01:00,82700.0,76822.0,68.53
2017-01-06 15:00:00+01:00,79900.0,75588.0,65.62
2017-01-06 16:00:00+01:00,79200.0,75282.0,66.21
2017-01-06 17:00:00+01:00,82250.0,77954.0,71.01
2017-01-06 18:00:00+01:00,87900.0,82875.0,169.32
2017-01-06 19:00:00+01:00,89250.0,82772.0,107.85
2017-01-06 20:00:00+01:00,85800.0,80257.0,85.17
2017-01-06 21:00:00+01:00,81950.0,76894.0,78.07
2017-01-06 22:00:00+01:00,80250.0,77247.0,78.57
2017-01-06 23:00:00+01:00,83150.0,77445.0,106.13
2017-01-07 00:00:00+01:00,81300.0,73315.0,66.0
2017-01-07 01:00:00+01:00,78800.0,71444.0,60.0
2017-01-07 02:00:00+01:00,78450.0,69643.0,55.95
2017-01-07 03:00:00+01:00,75400.0,67660.0,52.0
2017-01-07 04:00:00+01:00,73350.0,66619.0,50.78
2017-01-07 05:00:00+01:00,73450.0,67340.0,50.74
2017-01-07 06:00:00+01:00,74800.0,69401.0,54.08
2017-01-07 07:00:00+01:00,77000.0,70345.0,56.28
2017-01-07 08:00:00+01:00,79900.0,72095.0,61.28
2017-01-07 09:00:00+01:00,82350.0,74562.0,67.2
2017-01-07 10:00:00+01:00,83950.0,75628.0,73.48
2017-01-07 11:00:00+01:00,83300.0,76156.0,70.69
2017-01-07 12:00:00+01:00,83350.0,75969.0,70.69
2017-01-07 13:00:00+01:00,82500.0,75005.0,63.73
2017-01-07 14:00:00+01:00,79400.0,72219.0,55.09
2017-01-07 15:00:00+01:00,76550.0,70055.0,53.26
2017-01-07 16:00:00+01:00,75000.0,70913.0,59.08
2017-01-07 17:00:00+01:00,76650.0,72876.0,69.99
2017-01-07 18:00:00+01:00,82100.0,75500.0,76.52
2017-01-07 19:00:00+01:00,83850.0,75554.0,78.28
2017-01-07 20:00:00+01:00,81300.0,73375.0,68.23
2017-01-07 21:00:00+01:00,78150.0,71043.0,60.0
2017-01-07 22:00:00+01:00,77050.0,70815.0,61.19
2017-01-07 23:00:00+01:00,80200.0,71494.0,66.09
2017-01-08 00:00:00+01:00,77250.0,72485.0,69.2
2017-01-08 01:00:00+01:00,74200.0,69649.0,61.07
2017-01-08 02:00:00+01:00,73100.0,66624.0,55.47
2017-01-08 03:00:00+01:00,70150.0,64842.0,50.22
2017-01-08 04:00:00+01:00,67650.0,64733.0,47.99
2017-01-08 05:00:00+01:00,66750.0,64579.0,48.0
2017-01-08 06:00:00+01:00,67250.0,65056.0,47.15
2017-01-08 07:00:00+01:00,68450.0,65619.0,50.13
2017-01-08 08:00:00+01:00,70250.0,65866.0,51.3
2017-01-08 09:00:00+01:00,72550.0,66823.0,54.0
2017-01-08 10:00:00+01:00,74850.0,69245.0,58.07
2017-01-08 11:00:00+01:00,75650.0,70730.0,61.28
2017-01-08 12:00:00+01:00,75750.0,71299.0,67.1
2017-01-08 13:00:00+01:00,75700.0,70019.0,64.6
2017-01-08 14:00:00+01:00,71650.0,66775.0,54.74
2017-01-08 15:00:00+01:00,68650.0,65377.0,53.0
2017-01-08 16:00:00+01:00,67550.0,65578.0,54.08
2017-01-08 17:00:00+01:00,69150.0,68261.0,60.95
2017-01-08 18:00:00+01:00,74650.0,71784.0,70.51
2017-01-08 19:00:00+01:00,77450.0,72267.0,75.52
2017-01-08 20:00:00+01:00,76300.0,71709.0,73.2
2017-01-08 21:00:00+01:00,73600.0,70211.0,68.4
2017-01-08 22:00:00+01:00,72100.0,70245.0,71.21
2017-01-08 23:00:00+01:00,75400.0,70156.0,65.88
2017-01-09 00:00:00+01:00,72500.0,69433.0,58.0
2017-01-09 01:00:00+01:00,69650.0,68328.0,52.9
2017-01-09 02:00:00+01:00,69250.0,66693.0,50.04
2017-01-09 03:00:00+01:00,66750.0,66007.0,45.75
2017-01-09 04:00:00+01:00,65300.0,66244.0,45.02
2017-01-09 05:00:00+01:00,67550.0,67741.0,52.24
2017-01-09 06:00:00+01:00,73050.0,72543.0,65.75
2017-01-09 07:00:00+01:00,80300.0,76419.0,78.01
2017-01-09 08:00:00+01:00,84100.0,79740.0,89.78
2017-01-09 09:00:00+01:00,84500.0,81243.0,80.0
2017-01-09 10:00:00+01:00,85000.0,81675.0,80.0
2017-01-09 11:00:00+01:00,85350.0,81738.0,80.0
2017-01-09 12:00:00+01:00,85300.0,81509.0,80.0
2017-01-09 13:00:00+01:00,84750.0,80802.0,79.89
2017-01-09 14:00:00+01:00,82900.0,80073.0,78.7
2017-01-09 15:00:00+01:00,80150.0,78862.0,77.0
2017-01-09 16:00:00+01:00,78600.0,79117.0,75.75
2017-01-09 17:00:00+01:00,80050.0,80774.0,77.51
2017-01-09 18:00:00+01:00,84700.0,84029.0,83.87
2017-01-09 19:00:00+01:00,86250.0,83731.0,80.1
2017-01-09 20:00:00+01:00,81800.0,81777.0,77.07
2017-01-09 21:00:00+01:00,77100.0,79203.0,66.2
2017-01-09 22:00:00+01:00,74650.0,78977.0,66.6
2017-01-09 23:00:00+01:00,77700.0,78376.0,65.82
2017-01-10 00:00:00+01:00,72350.0,75185.0,59.99
2017-01-10 01:00:00+01:00,69300.0,72405.0,55.8
2017-01-10 02:00:00+01:00,68400.0,71210.0,52.98
2017-01-10 03:00:00+01:00,65650.0,69880.0,50.0
2017-01-10 04:00:00+01:00,64100.0,69213.0,49.19
2017-01-10 05:00:00+01:00,65850.0,70215.0,52.07
2017-01-10 06:00:00+01:00,70900.0,73978.0,63.55
2017-01-10 07:00:00+01:00,78200.0,78339.0,80.4
2017-01-10 08:00:00+01:00,81650.0,80959.0,77.9
2017-01-10 09:00:00+01:00,81400.0,80491.0,82.73
2017-01-10 10:00:00+01:00,81400.0,80688.0,84.59
2017-01-10 11:00:00+01:00,81550.0,80805.0,84.09
2017-01-10 12:00:00+01:00,81050.0,80495.0,82.06
2017-01-10 13:00:00+01:00,80450.0,80114.0,80.0
2017-01-10 14:00:00+01:00,78400.0,78451.0,77.79
2017-01-10 15:00:00+01:00,75600.0,77676.0,75.69
2017-01-10 16:00:00+01:00,74700.0,77804.0,75.85
2017-01-10 17:00:00+01:00,76200.0,80894.0,88.38
2017-01-10 18:00:00+01:00,80750.0,83070.0,103.3
2017-01-10 19:00:00+01:00,82900.0,81866.0,88.26
2017-01-10 20:00:00+01:00,78700.0,78357.0,79.67
2017-01-10 21:00:00+01:00,73950.0,75400.0,70.49
2017-01-10 22:00:00+01:00,71100.0,74730.0,68.39
2017-01-10 23:00:00+01:00,74350.0,73674.0,70.21
2017-01-11 00:00:00+01:00,71800.0,70705.0,66.76
2017-01-11 01:00:00+01:00,68850.0,68484.0,64.79
2017-01-11 02:00:00+01:00,68400.0,67749.0,62.05
2017-01-11 03:00:00+01:00,65300.0,66445.0,53.34
2017-01-11 04:00:00+01:00,63700.0,66454.0,50.62
2017-01-11 05:00:00+01:00,65300.0,68157.0,58.3
2017-01-11 06:00:00+01:00,69750.0,72290.0,75.8
2017-01-11 07:00:00+01:00,76300.0,77128.0,90.7
2017-01-11 08:00:00+01:00,80550.0,79844.0,96.88
2017-01-11 09:00:00+01:00,80650.0,81103.0,93.1
2017-01-11 10:00:00+01:00,80550.0,81037.0,82.57
2017-01-11 11:00:00+01:00,80150.0,80904.0,81.61
2017-01-11 12:00:00+01:00,80000.0,80930.0,79.98
2017-01-11 13:00:00+01:00,79650.0,80602.0,79.56
2017-01-11 14:00:00+01:00,77600.0,79848.0,79.82
2017-01-11 15:00:00+01:00,75050.0,79224.0,78.87
2017-01-11 16:00:00+01:00,73700.0,78828.0,79.56
2017-01-11 17:00:00+01:00,75550.0,79789.0,83.65
2017-01-11 18:00:00+01:00,79600.0,82420.0,95.76
2017-01-11 19:00:00+01:00,80700.0,81289.0,88.44
2017-01-11 20:00:00+01:00,76900.0,78707.0,85.0
