,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2021-01-03,45.80030524035617,44.053336199164384,41.45051179337303,39.37702851682173,40.349459426022364,42.7131582161076,44.38192347899809,46.674853012899455,50.72506647108847,52.252699725904726,52.3076019097052,53.38968767294992,50.35967339145631,48.28466716989934,50.28594708452679,55.49019267020163,60.570335197480794,65.42314552540584,66.00583737164548,64.34666590593551,55.40060517013667,53.20017769122877,51.80097692906098,51.92521314066722
2021-01-04,49.33770877528117,46.524011789558145,43.71146026635597,42.672403836780845,45.65145491203606,55.74101180692746,66.41869284812945,71.00033887201258,71.02669261428107,70.23211398739909,70.80634753861844,68.41489635016396,68.3066203023055,66.09664103126431,67.33483907364531,72.18676218095956,79.36548094260043,82.44505228901936,77.63162754232928,71.01876731792942,60.10535434057985,57.40667103829557,54.1579428527516,53.946673216670064
2021-01-05,51.17652315338158,48.14145168024308,43.283851336576625,43.0539212861696,46.933765093837465,54.79326141623894,65.26420788920453,69.5214840890659,72.76956172295893,71.6403171182449,70.98361890784183,70.03275744692347,67.52234767730434,65.29534244887894,63.02830186844889,64.28889910334198,70.25939122599326,74.96986470039533,75.16120393220801,66.73447834401605,57.46242571105529,55.04226321322471,53.288996868755284,52.6106906096172
2021-01-06,51.43754924768023,48.38629962992898,44.284532284471055,42.25399930996116,46.99892730664054,56.87071275409724,68.90727259005509,76.29142341763526,78.92935828473777,77.91260350095156,77.37990194213896,75.40851428728999,75.47590735853527,71.48406331747108,68.70214973775253,69.9180878502433,75.59173341739059,79.17393120214163,76.67003039907432,66.41073600618039,57.1968811415959,57.39284529018266,53.64517396606716,53.16718120095521
2021-01-07,70.95131529004867,65.45268237319942,59.73147069381071,55.86189986678487,57.82247942482791,64.13486697370783,76.32636088058342,87.07987715296112,92.05078877273374,90.28435270366742,83.25278902706448,82.53205797205217,81.39476054542996,78.06715008479352,76.46530131564086,76.17444050533385,81.68127943336418,88.97493610625997,89.22674557272975,81.74010761714536,64.86393994792151,63.13826740313213,60.635199520214144,64.8258810072602
2021-01-08,54.64315697079523,54.08477140307845,49.35694033399302,47.00834855589754,51.087287312320285,62.537670507234594,74.97700590757151,82.60284150969783,86.5418027388119,86.98202850673333,82.73311463298091,81.04551367484638,80.2270845908825,73.68965990884737,71.563538398805,72.66469157746758,85.0790054581465,90.13255878259514,92.35099922238425,82.18995503607255,68.55373611516332,68.47955778241163,65.8626757772562,68.47629657238411
2021-01-09,60.38436605101057,60.40863953951849,55.890470605528535,50.727947030883264,51.46387004639544,56.91853446021058,65.3380946762605,73.456564534863,80.54229386144718,81.63863958740698,77.21595854199826,74.58442605665482,71.43959606689816,67.24987895642892,68.45828324885497,70.39928325285581,82.38474712661056,84.08849843958589,84.31608291496536,76.70822075984685,65.86517356996522,66.41099275089496,64.41137463908433,65.1887843249801
2021-01-10,52.7610730706227,50.3630689112686,45.1907421551385,43.225149223987685,44.822288137739235,49.42675319657359,51.951529385105296,54.00988035056948,59.023863041991255,60.992445997535796,60.282157281825576,60.97085345101736,57.107537328452096,53.86565917269472,54.55347588229558,58.90530746078911,67.3027703839603,74.0027607540585,80.39525710080127,74.86682768833165,65.34877920256869,67.215626783331,62.77252865721708,61.04724839211241
2021-01-11,52.88263053968359,49.71409311133342,44.18917072861142,43.224911813832364,48.11491010355794,57.38553393843736,70.04094774997169,74.81610310144936,76.90989459089344,76.2289693201443,73.12217634212587,71.01369496514835,71.1072123184581,69.39815989267703,69.6398776177839,69.13608899087542,75.51474593145988,81.7148060972805,85.33110394582692,76.0657582683555,64.29747798464423,61.97676373610252,58.67955828629299,59.47854815929
2021-01-12,53.131531976339105,50.117823731907905,45.085177964970924,44.2098036570278,50.299144093652394,60.848331524249005,72.66143800361631,77.90830552454312,78.43909351942186,74.49523105192259,73.47939663854592,72.35719382980217,70.4567746930039,69.22164525022538,68.59398232544358,68.23319289776894,75.07404177148064,81.09157446714272,79.08036641192996,68.64928594351724,58.652514298789406,59.32975675530852,53.684221697400616,51.27698788194563
2021-01-13,61.45273140136663,59.426054128184305,54.02352669444786,51.112326907157794,53.4487901329218,56.76258753997226,68.22706075810001,73.89631202176555,77.16091030428996,77.89534808812047,76.66691383757087,74.69055249549137,73.90772611445755,71.78805001286051,70.74380625563829,67.28033556816722,74.17749714785501,77.11741414782308,74.96400889520498,64.71395497104558,55.07489802671628,56.079203002974076,53.97996606008452,53.238061149860776
2021-01-14,52.93137579867927,49.72612566334231,42.15911352043646,41.163993827667696,45.63024234263567,54.97070208736316,67.57624925060313,72.65629231631061,74.4752842003559,74.54849549609514,71.54232051904329,72.64107641455347,69.07639266775182,67.23835304299229,66.33723845808609,69.01948617876229,75.89402079112728,79.07521784402688,77.72294853004561,68.37155431211858,58.431325819798744,58.932176902131765,56.206837934759676,52.84616071230886
2021-01-15,47.346064734505696,43.96128635157072,41.3491495343847,41.485248288039735,46.53248260068945,59.17880216895311,71.86677167553948,76.09883106770033,77.82235470289473,77.72134577363758,76.10055067204841,73.82095762702973,71.2246837301667,67.84411247532228,66.80186562429002,68.78098913079835,78.32314336087558,81.9031568646354,80.61304113455625,73.04054921566853,60.99255450376663,63.25205922623455,62.08452439078323,61.346158102263395
2021-01-16,56.33047215134964,55.61309838407507,52.94248570194351,50.821387022154354,50.55382937781874,52.82773104225265,58.62406239976836,64.46281267199997,70.08679652503365,71.47357724335264,68.73509081504096,68.64615406619522,64.90755531225766,61.758214921761436,62.06295549882347,64.55171614879798,70.12429747037385,74.59225873514545,74.26677746189354,67.223551618349,57.652808980854935,60.832322554326396,61.061958614534554,54.38356237493
2021-01-17,47.396269160397914,43.0250513728647,38.6776582246957,37.34091055202235,40.011079275312156,41.72315791356283,46.18360366145176,48.93268139327084,53.48263896712129,54.931516083416845,54.999411840646204,56.723538201397126,52.4945912868275,49.87039906000109,50.52031664466888,53.09179978760182,60.15494380132438,65.81700004869265,68.90422180441811,62.954748888768975,54.944496091520655,56.55291289146721,51.75869823940258,50.050777731637254
2021-01-18,49.87224002909275,46.46764981972996,40.24042423613579,39.84397653141207,47.42465918432345,59.9989679961731,72.26788646245076,75.11994697267848,74.46811223437257,71.45473460489006,68.20643451734212,67.31185207931068,66.53061818332483,64.81579858186228,66.80606894455792,68.54565818640745,76.47514478688403,81.9648368157385,83.33355433527795,76.70139228641004,64.5488771219483,62.98399921435008,60.157036273320905,56.22826305900429
2021-01-19,51.7229916436706,49.92676168252675,43.77709357364971,42.08361777066665,44.90566827546415,55.08775630392216,67.32657754559808,73.18756344294145,70.19959224172018,68.38862808455606,67.44604607070859,66.15501799318815,63.44522943290116,61.60960847534366,59.466431934235786,58.788321041765066,68.75031958471395,77.82804297708591,78.35217987407025,69.9096700779112,58.13398740835274,58.8017931355286,54.86760661600255,53.349647520790676
2021-01-20,46.03316520244551,43.43815296121452,38.76230385768275,37.32973313781402,42.00930039633356,51.249564646140136,63.7345345041725,69.72986157416648,71.96978782759233,70.04389773084017,68.57003835919159,68.12694368817505,67.28729221438279,63.51678038691435,61.94045362302752,62.503233195428,70.99601679140405,74.2952848740487,70.58331042427079,59.51323518143808,50.040479846228195,51.9795322763503,48.707546830886244,47.59884704811012
2021-01-21,25.928509090965893,24.238494124551174,21.201894505875806,19.545312121320865,27.20836648589988,37.75642819228594,48.53866645274341,50.39002039140429,49.67085562113292,48.749663575873875,48.63786785054704,47.72404763751944,45.022463418395354,44.539766161283794,45.18613510764358,48.948307054774496,54.60597962273719,57.34441468277891,57.1217388380585,51.84730737594637,46.117165452998044,45.28084443597026,43.626862729631824,38.75131535082606
2021-01-22,32.59748591799807,29.515374499898563,24.801136491629148,25.43484427457527,30.115605395756457,38.89927054705902,50.859977718272866,55.12819789017741,56.37734250706464,53.89963449793619,51.64589337189545,50.166017220357396,47.84166946186756,47.27086857271579,46.95657935886801,50.11198269907827,57.88750599482994,59.60126823404917,58.71464223118504,53.271098673461616,48.05968263799533,46.434480784219076,43.9565528939295,39.4688262013992
2021-01-23,43.45706872662401,40.278845507464624,36.244214446707744,35.915460261706755,39.618838376634564,42.13751186718027,47.6801067636646,55.683367738121774,59.18853034914446,59.108036922024795,58.61581905805923,58.91580962056506,53.480138620537744,49.72911210889902,51.930445220428375,52.83516460373488,58.25938510653248,59.97530785005316,59.454030431831555,52.35500184233596,46.169824998295496,48.132451954053636,45.54603347153796,40.62748112034049
2021-01-24,41.892310168378245,40.55627331437381,38.086488398540325,39.15505651890232,41.31092114362027,43.48059801673304,44.99477975655828,48.15884230986443,52.27600167856703,54.09784522170719,53.870958421166904,54.928739088465605,50.4600363789306,47.76436479097372,48.55341526606615,51.44145209667679,60.256454723774915,63.1702834181482,63.81163654145583,60.04380582619956,53.75895133822017,52.4801939747247,51.371282715942414,49.02630359406134
2021-01-25,43.077338075879126,41.27552460945563,37.90753102253235,39.66690943137678,44.77389002780976,55.61384465295694,68.38603171955909,70.50332689767089,70.7654817366246,68.32589866197574,66.87436556732257,66.55377053471518,65.8230176961762,63.88033627259615,63.921713783816585,65.09595498152783,73.28188918102998,79.78414398729613,75.3061877499171,67.40653982851572,57.65323090110155,56.96042322276698,53.73842942830324,50.44579657144859
2021-01-26,51.88437285155632,51.45650433611498,45.77586694437468,44.237763509030664,46.285883859224946,54.47247128007446,67.21429332640622,75.81637932918645,76.23550033708474,73.03324323168673,70.82542993770704,68.33540255959257,65.1635395796598,63.47007891538897,62.756208673444846,64.27806525062856,72.14547677827386,76.86470995527864,75.68772430506397,66.98103724194439,55.6170150450628,56.11328569438588,50.57586967265139,49.83371925986556
2021-01-27,45.8695875787239,43.760464498103886,40.44038207876944,37.63651093998354,42.889794859926496,52.40659234310998,63.6827795986232,68.45661495960712,67.72105147862386,66.1303699457849,65.78268330189852,65.50398459325947,63.18244900512821,61.182304188349875,61.02714054631009,61.984134227473305,66.9535954950342,69.70364980056377,68.3694102364324,59.76691054770626,51.45459407870237,52.677818644851016,47.37003829892131,44.777512789241996
2021-01-28,44.19322290870067,42.594795544341636,38.66617534729925,39.05646403756819,43.46378309201921,51.919824510989045,61.880327255076296,66.26088054397178,67.3283861206051,66.39050132141676,63.98186787455844,62.146355574658465,62.405407348835816,58.63152110399582,56.617400111768326,56.758017462797795,61.133449829324,63.25545415321489,63.75543832020895,57.535296360690175,49.45340907839152,48.71135976608688,45.01277039924915,42.20491125665081
2021-01-29,41.15564536437754,39.14758498523243,36.04393655413059,35.515539859634096,40.38751381495595,46.53988054800952,56.59011739253002,59.4002321598248,62.72996476153571,61.24675443000142,59.478664403587786,58.17696903055746,57.56900590449177,55.02005383235952,54.259486233375156,55.23274728604939,59.211964614762195,59.77445603334383,59.277325198698016,54.73180991512243,48.685160382159154,47.195128814914014,44.19996693652838,40.24586785965219
2021-01-30,36.74146604843606,33.54160630871389,30.275585469444827,29.62707828309061,32.11269169677876,36.6148759568738,39.052294048360416,42.69233074078826,46.707956065006165,46.70876825059081,45.15545960432422,46.171428993875175,42.889315315374915,41.43779676146498,42.04370317289751,44.504131278146815,51.57409588534569,56.04355156324923,57.536011518613876,52.031503540057386,45.71426721240819,45.350802941628416,42.00802650167922,41.14559803495332
2021-01-31,39.54605643443196,37.81170496898683,35.64429539025915,33.76579032399803,36.017394155157135,36.89131840331723,39.43121158630069,42.327701181921974,46.562258124732665,47.89571537393921,46.922267813622206,48.23118431867196,44.47158182960825,42.50198991225098,43.98336244138649,46.17966547975673,53.396500830548504,60.01194535910838,59.8568166652557,53.72655561979013,48.07838041403778,48.06105031463615,44.00896822356236,41.0458881609957
2021-02-01,39.08065845975429,36.70760794397278,34.573851529008735,35.7695795637817,40.113708602102484,51.175163797023124,63.25640655408982,65.98730923833861,64.32738241853158,60.915412920999714,58.95905758033737,58.58651264032041,56.457119986687346,57.31614950892566,59.60658054539259,62.853077769618636,66.65334419760555,69.20538390894166,68.79909988140298,61.58544070179076,52.9904315598648,50.455054714302534,45.68543523373839,45.133135338986705
2021-02-02,42.081841342989875,40.62424296588713,36.29213734305324,35.94124298697403,39.06093162833408,48.445733738539424,60.70298057000832,66.81504690236264,66.19552471333608,64.37352773182509,63.6116060100456,62.4525388772538,61.455549362894644,60.06866665874527,60.053667823317866,60.505745479796424,67.33975522195087,69.52555967494754,65.52884717271343,55.940747568585316,48.69352516628942,48.62735925883223,44.253485199602416,40.78188897358443
2021-02-03,32.56638605428224,30.90713531046463,27.560698108137856,25.04404168973773,30.448201808207685,40.58176369833302,50.49135829516212,53.67499676475988,54.355714872983285,54.28421227756617,53.89776084254455,53.89124403769088,52.29292408535623,50.96719116926623,51.62323327651199,51.685281858930665,57.60179434880406,60.536266947230246,58.400576514105325,51.568439183308975,45.68199782131864,43.872085326140834,39.245269003918025,39.18902097949508
2021-02-04,32.498383998681525,29.963681271284614,27.365560624047607,26.787637210927397,30.474212166698578,42.6653370160561,50.863646620991965,52.2104283990209,51.6567532789087,49.473635601766475,49.841287209871325,49.16479251668703,46.321362084728975,44.491836861572665,43.737248580594304,45.59183770182997,53.908955681653055,57.30094728065207,57.418923727510915,50.57773059980761,46.10428151736665,44.107198579097506,40.58895163662312,36.451073990186316
2021-02-05,43.762821226214164,43.006282564404074,39.54033882848391,37.981918931506335,41.50236447911141,49.388761865794415,60.57948461684456,61.32902808485291,63.648728477621056,62.49597003956842,61.78379324515799,61.62574617169586,56.85737947019712,53.73783936093139,53.2553146703212,55.04399339147584,61.3516310495106,63.63141111882428,62.063730381119676,58.28358869753463,51.204123539616006,48.75611812099051,47.00776362430545,46.98036139394306
2021-02-06,42.59576512225512,40.06094518027332,38.39619833912973,37.76419835849718,39.09887375712367,39.91194624114928,42.0662433145008,44.32677835210857,46.41822229438816,45.95140332931537,45.13815478772258,46.20298344542147,44.32567440661214,42.88673219044624,44.06733697598407,45.72932073752518,51.52834728275948,56.95791172490757,56.5317254898841,53.23181388439048,47.427453219950586,47.3718916136689,45.980345045772175,42.67937289337556
2021-02-07,17.400931529842822,14.769439841721105,13.355276738090817,11.559683514365712,9.79659665293153,15.290758059855403,16.749742198093145,18.82939510215572,28.79974131275568,32.07552379802018,33.7039304175815,34.62818369685284,31.01562287553392,27.01963025270248,27.368548893883883,29.598491177864364,37.35472800898715,46.588107125555375,48.93915804884032,43.98620308466662,38.17352136264927,38.54433126616462,35.96385698067429,33.21011466600068
2021-02-08,31.516184278596118,28.592438935875514,24.878983099735272,24.70476160987399,31.114644125568816,43.76775675876744,54.31389689443261,57.41779395857836,57.198256885326366,55.58295362735501,54.27696052732952,52.46338852766701,51.808036033561415,48.633558477916736,47.96980108070547,49.79602377572007,56.25287827714356,65.82095796211887,63.495764272737105,54.584800321018285,46.97333395835932,46.0873217004628,44.38589507721351,41.04411908591588
2021-02-09,41.746747925583115,39.09909698629198,33.73440969902235,34.564141544689065,40.50334192821135,49.2960143156134,60.34860771400993,63.38225005533019,62.81868774772124,63.28112083760085,62.64541800815918,62.30708459014626,58.7376904575363,53.88653167387436,52.51819899290521,53.52480891662146,59.84987696466325,63.36809938131837,65.13849951964592,58.515324873749684,51.720683009909074,50.16225937577979,46.617603006670294,46.01063314340801
2021-02-10,49.086353485120284,48.100606779107125,42.47393923500549,41.50808634313939,43.22815683553512,53.3231470735838,68.2997687476694,70.14516766081363,72.06809113746668,72.31194953791456,69.49714955679495,66.03059371231565,64.58488375299981,61.41537182816688,60.61175546810966,60.20727927383971,67.60060421424184,69.30504770299382,66.52356296207039,58.193006166661846,52.61196620024204,52.70248067855818,49.44824878991767,48.248841711810016
2021-02-11,51.38014282662324,50.80003637376902,46.699904282889456,47.670077660752455,51.684055489846074,62.08546637346639,76.03344501535798,80.75703006553462,81.60408636561839,76.74736455764838,74.00973216234858,71.51084738088913,69.45871327033717,66.81976563114615,67.93220528854135,69.79328927383051,77.16734398105686,85.70031462270148,81.34090096109482,69.25657169646308,57.61232660829882,56.68129844063289,56.316693943409064,55.758355807882985
2021-02-12,48.266781363243624,45.71413119819146,42.90882024993478,42.58596948270734,46.82028341975716,59.38621583465968,72.80672621970406,80.50721761397243,78.27900998331538,73.53999883561531,71.13140411646285,67.15584541956113,63.641774879447595,61.4544908224339,61.64061322431108,65.96268271551754,73.9494437818953,83.16981481386992,78.82203957280532,66.82741050525556,58.640300917143804,58.67622833015675,56.81761515683882,58.43743493468027
2021-02-13,46.03031633627216,42.69847995032803,40.33328709680246,38.31695230547273,40.79684763600024,46.259665923158444,51.870114121350326,57.19628767266026,59.47105826025491,58.35577285658949,56.92101019198654,54.31454708607159,51.122617021193996,48.174071705798156,48.34383987388463,51.78177960470708,57.094960704567484,62.65508290624254,61.70651194855321,54.75570076786459,50.319137584823785,51.70232445961595,47.57807520343262,45.89131759646715
2021-02-14,44.624366929750614,44.21571925176346,41.113963817508434,39.13056808423765,41.58285390581871,46.71055644152532,49.69658112767154,51.313137576234276,53.29558731251565,53.712909206994446,52.07758711899785,51.79543154228945,48.18897617998314,44.899647422610585,44.88623475497442,48.063912261073206,55.938384259801225,67.60249350288782,67.63327969476931,60.21890715211661,51.87922333889012,51.444526517569926,47.25541366140058,43.99247072417192
2021-02-15,37.96906849274876,36.3527977545541,32.146429053671554,31.597609020761418,37.77514454589646,48.010665039229465,59.75159721808423,62.29944198335198,63.68458816996508,61.983798770537874,61.466413155070754,59.76982926385293,57.30402406671675,54.191636964736105,53.598971328873965,54.45407838538606,59.64163800550547,67.18318653139619,66.6012929081667,57.653227418081386,49.76366540693074,51.09143638893211,47.011605146712185,43.080217874813705
2021-02-16,43.11959659838184,41.90749453112317,38.2252709892845,36.45728818312821,42.26554641260512,52.37504438113391,62.20249336756717,65.25261837374627,67.04852400279924,64.59154958228534,64.89930573341357,61.410463493769086,58.61963877041599,55.541815159982406,55.82704746657946,57.920220009294965,62.774265939287474,68.68506148627768,70.26653433559899,62.55399279097097,53.23337395096698,52.026079383113384,47.59517144237206,44.576337652965066
2021-02-17,40.81801766312828,39.75182212965361,37.37851033777656,35.92396545076311,39.61172597787792,45.874959506839915,55.620642676034315,57.6299403129411,57.903823243919014,56.715243525389766,55.682604868791174,52.565254640320134,50.14354859855017,46.73049434782295,47.23073424176738,49.40792817400582,55.69619248563236,61.050764227766905,62.16149493080859,56.32695020666529,47.3619535587093,46.57088097236269,44.36815844583177,41.15750714925389
2021-02-18,39.27495322290528,36.26701932323043,34.18355745666127,34.523255855638396,38.32478988938369,46.43266277449878,57.40689964711308,60.6033614412903,57.71143744777042,54.58287090968762,52.229851554818254,50.04728388279588,49.13503942687086,46.00587889929451,44.82609253910571,46.49454145861834,52.501718755284394,61.049425615541296,61.359426524221675,55.30156119864685,46.17657943544138,45.15118617026234,43.00543184714126,40.44783347407405
2021-02-19,36.92653707082457,36.4950354835841,33.82990783599786,33.47702424823746,37.93265822004698,45.20455872700266,56.02028915768621,58.74664434439245,58.36625692461623,54.093540494147454,51.40954341931704,48.062852173472514,45.65066172031253,44.50696299466215,45.82641325964926,48.65994227675983,56.493470991062864,61.852905868766044,61.219534668691054,53.889690409303604,47.28426161544561,45.659489050231,43.25267908963885,39.72530365235736
2021-02-20,38.18564581147491,38.02284546299357,40.476404757653704,39.67913934473665,38.976592990999606,39.21511417980783,42.47265908137512,44.276350558526595,42.48940544569182,40.41697551065131,38.43859442700866,35.45679515031771,32.81920476223611,33.57190446082733,37.026241406198274,39.636509391859406,43.95919129366432,48.21321439820746,50.45325246611498,45.53242579212496,42.256322342385545,42.253676671343335,38.621560425851946,35.91861299568057
2021-02-21,17.478810638936185,15.50613868049923,12.168910217072014,9.310473334391457,5.712651435029173,7.817899049248844,6.140238179319027,9.038912870917137,7.450132155916805,1.3285470087032536,6.3944458383888545,9.189674245446422,5.617525922629696,1.9270632806068448,8.06789462075605,9.312173775701297,24.614309868169585,37.21781148954795,40.243045965917986,34.99412659136765,23.79073998773011,29.159708896805824,25.158761881122523,23.05404331349312
2021-02-22,37.586919059410974,36.2103193178317,33.586777264198915,32.129329575977444,38.18219421790585,49.46972505211937,60.876478059491205,63.640821394743476,56.94222444580921,53.373736715338154,52.422547181070996,52.54043444655761,49.60565175569988,49.13899362874864,49.66438715896481,51.58843151218403,55.61249484755661,64.67997592783676,61.42368838622785,52.92565198936035,44.178200242044745,42.73303498750253,39.968621779207886,37.53225857648336
2021-02-23,41.68971035511581,40.65457731832981,38.699435559003206,36.82460104817381,37.95067845853179,44.79309461789144,56.54210142739348,59.89280177536064,58.8401715626841,55.743351774504546,51.81095979281632,49.1022070484415,46.137725832195144,45.07127941038247,45.44612840171144,45.72192472865547,52.47464140684572,57.67641190389467,57.65387955500814,51.1541945473737,43.803606425355426,42.05253788642675,38.615127440804336,34.64863588856064
2021-02-24,23.34253530109614,21.427296252229137,21.93881844319408,19.5058602211515,22.645126573618096,32.650755618198474,41.78622831738244,44.64941172872503,41.87853351307522,37.3131609108361,35.62597010739846,32.7032402555868,31.037854950943704,29.266998603841124,30.540270257275207,32.86246339842543,42.71875366325394,51.22694554303687,51.0424843601394,43.88130459834734,36.96225562509287,34.43048931774494,31.931543536942616,25.34986557427402
2021-02-25,33.00340499698927,31.08793078347985,29.345625462442296,29.851647352054258,32.55803331260158,42.349723667776594,49.913706244919396,55.65797573167131,50.56764252932054,46.331880584110074,43.960010517299295,40.968742995402515,38.912355846636444,38.71155404298099,38.751664419900166,43.24532028024127,50.071194740304584,59.314718023676306,58.26839513018935,49.93886020200453,45.45186051766899,42.38216968162377,38.24227046740428,37.72715618976582
2021-02-26,45.8562153801454,43.04133073549967,41.05640975544526,40.73374899600731,41.9091884561444,51.303952509316375,59.94327516014222,63.168284233305684,59.788284565922226,53.72533230036609,49.83738417635777,47.66363814283814,43.87712422527762,42.14003236817237,44.89081479729346,46.80233858670316,51.00184664597239,59.842704396574845,61.55181537034098,55.27688429318972,47.69686340491546,47.11221332842117,42.83697854455395,42.348972177024244
2021-02-27,42.77435149564194,42.620091450323585,39.56403054745073,40.33832052541518,36.87820922493054,39.969795625553516,42.021697861063,45.13045376060425,45.399321326373496,41.53110492960076,37.434800907006256,36.49797188623374,33.59393740315293,31.09388408359369,32.39026660917346,33.108687975751224,42.29011725535085,53.34490790960178,53.87983770039147,48.63355350786741,42.10889943592447,40.20395373408349,40.27751532074389,36.63800741912682
