,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2021-01-01,46.274681091308594,44.32160186767578,40.537635803222656,37.951805114746094,38.73092269897461,39.47209167480469,40.92082214355469,43.38602066040039,46.281150817871094,48.571712493896484,49.78105926513672,50.641822814941406,48.554901123046875,45.82745361328125,47.528114318847656,49.416656494140625,56.25908660888672,59.592735290527344,59.0135612487793,56.33294677734375,52.71162414550781,53.36731719970703,50.121551513671875,46.982627868652344
2021-01-02,44.51444625854492,43.262699127197266,40.97090148925781,40.46219253540039,41.655357360839844,47.72038650512695,53.90924835205078,55.83469772338867,57.798622131347656,57.988224029541016,57.702476501464844,58.83490753173828,56.70536422729492,55.140750885009766,56.25531768798828,56.67749786376953,62.06922149658203,64.82803344726562,63.16829299926758,61.66650390625,54.76334762573242,55.302764892578125,50.51043701171875,49.31309127807617
2021-01-03,44.642662048339844,43.28002166748047,40.646766662597656,39.427982330322266,40.89889907836914,44.80604553222656,48.442081451416016,50.84188461303711,52.97509765625,53.803123474121094,54.285247802734375,54.679115295410156,52.41844177246094,51.29057312011719,51.43138885498047,52.868309020996094,59.34139633178711,64.95992279052734,62.74248504638672,60.958675384521484,55.20196533203125,54.183162689208984,49.76270294189453,49.86353302001953
2021-01-04,47.04966735839844,44.14073181152344,40.41805648803711,39.41177749633789,42.3696403503418,53.1528434753418,66.60770416259766,70.38846588134766,71.1137466430664,68.86431884765625,69.23373413085938,68.85596466064453,69.53326416015625,68.14282989501953,68.5535888671875,69.79745483398438,76.79316711425781,76.96697998046875,72.44854736328125,67.10506439208984,59.281951904296875,56.3750114440918,51.75932693481445,49.346771240234375
2021-01-05,51.007469177246094,49.708648681640625,47.1015625,45.62749099731445,47.814022064208984,57.71527099609375,71.04362487792969,77.10675811767578,78.25035095214844,77.09169006347656,75.08643341064453,73.47814178466797,73.87283325195312,71.71903991699219,71.66767883300781,70.89856719970703,81.5368423461914,84.0675048828125,79.5026626586914,70.8982162475586,63.35093688964844,60.76347732543945,56.65681457519531,55.166709899902344
2021-01-06,49.1121826171875,48.029144287109375,46.35511779785156,47.097496032714844,48.981056213378906,58.42144012451172,73.25730895996094,76.39569091796875,76.3629150390625,74.35404205322266,72.71891784667969,69.77871704101562,70.89203643798828,69.77772521972656,69.20323181152344,69.49840545654297,75.16070556640625,81.08342742919922,77.68274688720703,69.92752075195312,60.05195236206055,59.06755828857422,55.138092041015625,52.8090705871582
2021-01-07,61.17277526855469,59.05393981933594,55.398956298828125,54.70436096191406,56.94419860839844,64.13838195800781,80.8005142211914,86.73638916015625,86.72846221923828,86.01937866210938,85.4981689453125,83.03343963623047,80.67576599121094,76.27674102783203,76.13587951660156,76.69036865234375,84.65335083007812,89.5743408203125,83.64173889160156,75.61701202392578,67.51699829101562,66.49462890625,64.34580993652344,62.35809326171875
2021-01-08,57.8892707824707,53.992000579833984,50.49885177612305,49.852874755859375,54.8477668762207,67.77645874023438,82.40931701660156,91.34358215332031,92.51119995117188,90.50531005859375,88.8466796875,86.58219146728516,83.4066162109375,85.64112854003906,81.83918762207031,82.73526000976562,93.00428771972656,104.08749389648438,94.65827941894531,80.42105102539062,68.9478530883789,69.80083465576172,67.28227233886719,64.13407897949219
2021-01-09,59.385498046875,57.39960479736328,52.858734130859375,51.2569694519043,53.56807327270508,59.365135192871094,70.19601440429688,74.86546325683594,79.15548706054688,78.8955078125,77.23371887207031,76.27870178222656,73.4429702758789,71.4222412109375,70.04423522949219,75.2374496459961,85.0697021484375,90.55766296386719,86.07798767089844,78.53166961669922,69.29496002197266,69.16688537597656,66.69092559814453,62.193603515625
2021-01-10,50.674049377441406,48.84196472167969,44.898651123046875,43.05660629272461,43.980979919433594,47.05125427246094,51.86122131347656,55.103641510009766,58.317989349365234,59.430763244628906,59.469608306884766,59.9849739074707,56.82433319091797,53.66236877441406,52.690860748291016,55.825843811035156,61.265708923339844,67.27719116210938,68.59271240234375,65.20415496826172,59.39558410644531,59.293907165527344,57.50414276123047,58.15534591674805
2021-01-11,53.90061950683594,52.15192413330078,48.17459487915039,45.863616943359375,49.81248474121094,61.573341369628906,80.78105163574219,85.880859375,83.94052124023438,81.05546569824219,81.13409423828125,79.40907287597656,77.19377136230469,74.37767028808594,73.18406677246094,73.02958679199219,76.94960021972656,81.58169555664062,83.902099609375,79.2455825805664,68.87744903564453,65.91087341308594,62.36418914794922,62.37293243408203
2021-01-12,49.01003646850586,54.274749755859375,48.763458251953125,46.520103454589844,49.29853057861328,56.33110046386719,69.9533920288086,87.34304809570312,79.56953430175781,77.14048767089844,74.78701782226562,69.95094299316406,64.4600830078125,60.81395721435547,58.72336196899414,65.01234436035156,75.93328857421875,78.74342346191406,81.1008071899414,65.66065979003906,59.049781799316406,58.11888885498047,54.510963439941406,52.733360290527344
2021-01-13,56.43268585205078,55.93152618408203,53.143943786621094,48.65303039550781,49.73886489868164,58.69733428955078,71.12562561035156,75.07304382324219,77.5072021484375,75.5799789428711,73.60834503173828,70.31597900390625,68.82466125488281,66.42158508300781,65.60363006591797,66.19574737548828,71.5799789428711,76.91429138183594,75.34994506835938,68.69038391113281,59.044921875,60.702396392822266,58.94971466064453,56.109561920166016
2021-01-14,54.32320785522461,51.90080261230469,46.778038024902344,44.86628723144531,47.80963134765625,56.687015533447266,71.00814056396484,74.7763900756836,78.70441436767578,78.26605224609375,78.90654754638672,76.02369689941406,75.01067352294922,72.90858459472656,72.80036926269531,73.8428955078125,78.32376861572266,80.01531982421875,75.7774429321289,68.27578735351562,58.62432098388672,60.22977828979492,56.683658599853516,56.19781494140625
2021-01-15,45.170509338378906,43.7674674987793,41.516357421875,41.1722412109375,46.40623092651367,56.9281005859375,71.94781494140625,79.15091705322266,80.21975708007812,78.34033203125,78.72079467773438,74.60254669189453,74.33797454833984,75.21783447265625,77.25160217285156,73.74615478515625,81.77639770507812,80.36754608154297,78.72193908691406,73.40162658691406,62.95940399169922,62.54994201660156,61.00514602661133,57.94226837158203
2021-01-16,57.20158004760742,54.58026885986328,52.05335235595703,52.0112190246582,53.14056396484375,58.16267013549805,64.88864135742188,67.83686828613281,70.73223876953125,70.45558166503906,70.23715209960938,66.73153686523438,64.97441101074219,64.27073669433594,64.8837890625,67.63172149658203,72.82693481445312,78.09683990478516,77.65626525878906,69.51649475097656,62.48575210571289,62.80347442626953,60.193519592285156,57.202693939208984
2021-01-17,46.07893371582031,44.2410888671875,41.02509689331055,39.463829040527344,40.951229095458984,42.99897003173828,47.120513916015625,49.868343353271484,53.68633270263672,55.162445068359375,56.799983978271484,57.65829086303711,53.39765930175781,50.438880920410156,50.454620361328125,51.999122619628906,57.258995056152344,61.60185241699219,63.19810485839844,57.8360710144043,51.73284912109375,53.08594512939453,51.88657760620117,48.89912414550781
2021-01-18,49.95327377319336,48.686004638671875,44.573646545410156,43.94110107421875,47.707000732421875,60.15454864501953,74.94281768798828,78.71630096435547,77.26303100585938,75.6169204711914,74.97891998291016,73.14602661132812,74.29769897460938,72.68559265136719,73.61332702636719,73.30784606933594,78.39773559570312,83.30575561523438,82.99524688720703,79.35708618164062,67.6607666015625,65.0867919921875,59.39143753051758,55.742881774902344
2021-01-19,52.92620849609375,51.885189056396484,46.569400787353516,46.339378356933594,52.09565734863281,61.299522399902344,76.26695251464844,81.10625457763672,79.96366882324219,77.50859069824219,75.21389770507812,73.14431762695312,69.22998809814453,66.88619995117188,64.96515655517578,66.48226928710938,73.85920715332031,78.41372680664062,77.3516845703125,70.53266906738281,60.998592376708984,59.74565887451172,57.650596618652344,54.71337890625
2021-01-20,44.11354446411133,42.65850830078125,38.98583221435547,39.5712890625,46.47679901123047,53.23687744140625,63.201026916503906,66.74784851074219,72.32506561279297,69.08168029785156,65.481201171875,59.819297790527344,62.38644027709961,59.113426208496094,60.0119514465332,58.61978530883789,67.84719848632812,74.45188903808594,68.8929672241211,60.99602127075195,53.508689880371094,56.66154098510742,50.65106964111328,49.065711975097656
