,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2021-01-01,47.33304977416992,44.32979202270508,41.586669921875,37.96467590332031,37.96999740600586,36.049072265625,39.16206359863281,42.80534744262695,46.81032180786133,48.48127746582031,47.97801971435547,49.322425842285156,47.15576171875,46.40766143798828,47.31804656982422,49.058380126953125,53.86544418334961,57.358673095703125,58.594215393066406,56.003414154052734,50.73008728027344,50.57954788208008,49.483192443847656,47.17512893676758
2021-01-02,43.759056091308594,42.59601593017578,40.353843688964844,38.1108283996582,38.532501220703125,42.68138122558594,47.419071197509766,51.155006408691406,53.31865310668945,52.48215103149414,53.21868133544922,52.450035095214844,50.750240325927734,49.64223861694336,50.76835632324219,53.588340759277344,59.00409698486328,62.13801574707031,59.899620056152344,55.48847579956055,49.08666229248047,48.7119255065918,46.14070510864258,45.096702575683594
2021-01-03,46.21942901611328,43.62164306640625,40.791282653808594,38.34486389160156,36.57151794433594,37.44739532470703,40.38780212402344,44.420082092285156,48.404361724853516,48.42007064819336,49.77842330932617,51.21243667602539,47.8719596862793,47.19487380981445,49.306522369384766,52.01715087890625,57.574974060058594,59.5900764465332,59.07791519165039,55.41999435424805,49.12022399902344,49.523590087890625,47.99123001098633,45.42073440551758
2021-01-04,46.81027603149414,45.01507568359375,43.14397048950195,40.416893005371094,44.030364990234375,54.393524169921875,66.6753158569336,71.86793518066406,72.10868835449219,70.22459411621094,70.46316528320312,69.74769592285156,66.5992431640625,66.87023162841797,68.25019836425781,71.48155212402344,79.00981140136719,79.68211364746094,75.18083190917969,68.71953582763672,60.31999969482422,58.20340347290039,55.00658416748047,54.46343231201172
2021-01-05,50.22088623046875,48.07910919189453,45.5296630859375,43.275142669677734,47.026893615722656,55.462242126464844,65.1902084350586,71.71229553222656,71.77854919433594,70.8242416381836,69.01914978027344,67.18544006347656,66.18240356445312,64.76972961425781,65.08518981933594,68.36083221435547,74.56855010986328,76.87049102783203,73.231689453125,67.05406188964844,59.78549575805664,57.34593200683594,54.64165496826172,52.415252685546875
2021-01-06,50.773582458496094,49.78883743286133,45.806495666503906,43.917747497558594,47.89011764526367,54.0528564453125,67.67414093017578,72.67486572265625,73.6233901977539,72.59307098388672,70.23675537109375,69.85893249511719,68.89360809326172,67.42208099365234,67.20701599121094,69.98799896240234,78.37601470947266,80.33790588378906,74.04837036132812,69.16709899902344,60.91374588012695,59.982540130615234,56.67012023925781,55.4508171081543
2021-01-07,58.806251525878906,57.137935638427734,53.777549743652344,53.66557312011719,55.11130905151367,65.6996078491211,77.37286376953125,89.96430969238281,93.25941467285156,88.19331359863281,87.72691345214844,84.42324829101562,86.14314270019531,82.18943786621094,83.55374908447266,86.46617126464844,93.75598907470703,100.33830261230469,89.93692016601562,80.8016357421875,72.08406066894531,68.08592224121094,66.29550170898438,67.081787109375
2021-01-08,61.238285064697266,59.399505615234375,54.181968688964844,52.74402618408203,56.14759063720703,64.38265991210938,80.18617248535156,91.2984619140625,98.40824127197266,93.53609466552734,92.51541900634766,92.94668579101562,88.56706237792969,85.448974609375,82.84288787841797,88.97308349609375,99.17279052734375,106.02774810791016,94.8798828125,81.90083312988281,72.73158264160156,68.64674377441406,67.19560241699219,63.363731384277344
2021-01-09,59.848793029785156,57.928531646728516,53.33906173706055,51.43855667114258,55.84459686279297,62.71363830566406,76.69979858398438,91.1524887084961,98.81645202636719,97.20126342773438,97.95442199707031,94.66995239257812,91.63131713867188,89.59858703613281,87.73922729492188,91.13516235351562,101.79579162597656,106.13758850097656,104.06158447265625,87.89752197265625,78.81584167480469,73.21757507324219,71.31446838378906,65.49356842041016
2021-01-10,51.41407012939453,48.89988327026367,46.196475982666016,43.647926330566406,41.818016052246094,38.235958099365234,43.719573974609375,43.426876068115234,48.90380859375,52.851524353027344,53.872314453125,56.41023254394531,51.9666748046875,49.721038818359375,46.030887603759766,45.60432434082031,50.407203674316406,55.015403747558594,55.127845764160156,54.08580780029297,49.43720245361328,51.916664123535156,50.19721221923828,47.20246124267578
2021-01-11,50.38957595825195,48.82843017578125,44.964942932128906,44.10581970214844,48.70107650756836,59.27471923828125,70.85629272460938,81.48281860351562,83.91807556152344,80.94833374023438,80.3083267211914,79.63243103027344,74.93671417236328,73.96763610839844,72.78388977050781,73.4000244140625,79.41376495361328,81.98371124267578,76.84381866455078,71.91803741455078,63.71106719970703,62.22186279296875,57.875221252441406,55.77922058105469
2021-01-12,53.071022033691406,51.42580795288086,48.18168640136719,47.597801208496094,51.382774353027344,59.12286376953125,77.90133666992188,87.94837951660156,87.18275451660156,81.9400405883789,79.83435821533203,77.2083969116211,74.48303985595703,71.89308166503906,72.89549255371094,73.63600158691406,81.34300231933594,84.94381713867188,82.71847534179688,71.50003051757812,63.64723205566406,60.627471923828125,58.83544158935547,56.21253204345703
2021-01-13,54.672752380371094,53.74181365966797,49.107093811035156,49.056739807128906,51.709251403808594,61.7142333984375,77.26168823242188,84.25582122802734,85.00750732421875,83.05581665039062,80.06864929199219,75.68070983886719,73.96054077148438,73.11344146728516,71.6434326171875,74.18276977539062,81.55966186523438,86.87914276123047,82.59355163574219,73.79849243164062,65.88687896728516,63.50404357910156,60.480194091796875,57.351341247558594
2021-01-14,51.51616287231445,48.85308074951172,45.690242767333984,44.99602508544922,48.94495391845703,58.91959762573242,73.2834701538086,79.40510559082031,78.6729736328125,76.92892456054688,73.316650390625,73.02720642089844,70.59808349609375,66.451904296875,67.77516174316406,67.32951354980469,74.62425231933594,80.21720886230469,76.59176635742188,66.06023406982422,59.16554260253906,59.09159851074219,57.17094421386719,52.982086181640625
2021-01-15,49.778236389160156,49.306304931640625,44.61161804199219,42.80437088012695,47.628326416015625,60.27886962890625,75.66854858398438,82.64404296875,85.02262115478516,80.08830261230469,76.15421295166016,74.6141586303711,73.80992126464844,70.70429992675781,70.35810852050781,70.04104614257812,75.81114196777344,78.00260925292969,73.64863586425781,68.55790710449219,57.79631042480469,57.14912033081055,53.47746658325195,49.63652801513672
2021-01-16,56.84172821044922,54.98307800292969,51.36202621459961,50.15072250366211,51.577125549316406,57.263267517089844,64.73572540283203,71.2727279663086,69.8575668334961,69.37638854980469,67.36203002929688,65.65130615234375,63.45981216430664,61.48094177246094,62.94746398925781,61.07402801513672,68.50798034667969,73.1995849609375,72.188720703125,64.27894592285156,58.18837356567383,59.55789566040039,57.43895721435547,54.3997917175293
2021-01-17,47.858543395996094,46.86473846435547,42.66526794433594,40.995994567871094,40.65385055541992,43.08182907104492,48.55058670043945,50.67218780517578,54.64854049682617,55.94673156738281,55.80225372314453,55.759315490722656,52.77833557128906,50.74832534790039,48.65777587890625,50.92060470581055,55.378875732421875,58.58563995361328,60.20743942260742,57.13812255859375,51.39108657836914,52.85517120361328,50.784942626953125,47.45256423950195
2021-01-18,53.029449462890625,51.61186599731445,46.852806091308594,47.000160217285156,52.308624267578125,63.09302520751953,74.93788146972656,81.58039855957031,81.22793579101562,77.08097076416016,76.43943786621094,73.60169982910156,72.85309600830078,70.04953002929688,71.55712127685547,71.95560455322266,75.865234375,83.64013671875,80.43497467041016,73.24693298339844,64.31866455078125,63.25029754638672,59.779781341552734,58.59398651123047
2021-01-19,55.466949462890625,54.221282958984375,50.79234313964844,50.7045783996582,52.57111358642578,62.48798751831055,77.10115051269531,86.0706787109375,86.06575775146484,83.02153778076172,80.6805419921875,79.08940124511719,75.62063598632812,74.14310455322266,73.7168197631836,73.38459777832031,82.4794692993164,87.89743041992188,83.34588623046875,73.6575927734375,62.94443893432617,63.22232437133789,59.9602165222168,57.55836486816406
2021-01-20,48.195552825927734,45.437355041503906,41.88965606689453,41.89443588256836,44.84849166870117,52.19213104248047,63.88774871826172,69.94729614257812,71.9459457397461,70.53091430664062,69.30589294433594,67.1573486328125,63.38539123535156,61.7229118347168,61.89744567871094,62.673439025878906,68.55546569824219,72.28109741210938,69.64630126953125,63.02356719970703,55.66090774536133,54.73240661621094,51.551719665527344,48.43268585205078
2021-01-21,35.9497184753418,34.12884521484375,30.540645599365234,30.171619415283203,31.509944915771484,37.77305603027344,48.863346099853516,50.740394592285156,53.95453643798828,55.26781463623047,54.66584014892578,54.60581970214844,51.62989044189453,49.226463317871094,50.322513580322266,50.42437744140625,54.131019592285156,57.000511169433594,55.40912628173828,52.80672073364258,48.10963439941406,47.00312042236328,44.650604248046875,40.06684494018555
