Date,MAE,SMAPE (%)
2021-06-13,35.875577,107.628612
2021-06-14,33.889916,55.280974
2021-06-15,15.932488,20.490766
2021-06-16,14.74279,17.356716
2021-06-17,10.608022,12.814963
2021-06-18,9.959347,12.294422
2021-06-19,8.013933,10.825679
2021-06-20,16.187585,28.595967
2021-06-21,18.327185,25.3734
2021-06-22,14.537252,18.402244
2021-06-23,12.223104,15.018919
2021-06-24,13.338223,15.353998
2021-06-25,7.668692,8.934606
2021-06-26,9.369732,12.297499
2021-06-27,25.22351,47.837886
2021-06-28,23.737091,31.622937
2021-06-29,13.761676,16.011506
2021-06-30,10.573697,12.011396
2021-07-01,9.057063,10.478987
2021-07-02,14.111484,15.225758
2021-07-03,10.618333,12.438441
2021-07-04,11.512318,14.254672
2021-07-05,17.916488,20.445664
2021-07-06,11.933359,16.035772
2021-07-07,20.582764,22.154256
2021-07-08,7.457632,8.06297
2021-07-09,8.138467,8.99592
2021-07-10,9.654681,11.607381
2021-07-11,10.509285,13.15519
2021-07-12,18.544151,20.99796
2021-07-13,10.007205,10.926112
2021-07-14,17.294014,27.998444
2021-07-15,22.186856,38.388542
2021-07-16,11.771537,14.411985
2021-07-17,16.429303,27.276443
2021-07-18,26.255948,62.041473
2021-07-19,35.384488,47.408564
2021-07-20,11.71803,12.875876
2021-07-21,10.190699,11.077293
2021-07-22,7.936672,8.847134
2021-07-23,9.219907,10.506115
2021-07-24,10.720135,14.070287
2021-07-25,18.687897,28.854361
2021-07-26,22.244978,28.20835
2021-07-27,7.755047,9.428828
2021-07-28,18.178304,29.654203
2021-07-29,26.08463,56.099832
2021-07-30,26.553285,65.173263
2021-07-31,20.583448,91.131625
2021-08-01,14.904503,28.657719
2021-08-02,29.467747,41.127889
2021-08-03,17.159561,19.898577
2021-08-04,12.2986,14.972522
2021-08-05,17.930692,28.199068
2021-08-06,22.774295,104.12304
2021-08-07,19.255169,62.374054
2021-08-08,39.353958,152.317106
2021-08-09,46.15224,92.886942
2021-08-10,31.163976,41.618426
2021-08-11,17.93896,18.464842
2021-08-12,14.555543,13.994143
2021-08-13,14.267152,15.274507
2021-08-14,20.262229,28.170068
2021-08-15,30.283499,55.954426
2021-08-16,21.128901,53.858434
2021-08-17,19.558136,31.956502
2021-08-18,18.779462,24.6206
2021-08-19,25.388609,28.500728
2021-08-20,14.651434,14.61323
2021-08-21,11.137864,12.192011
2021-08-22,13.667697,17.406977
2021-08-23,21.318214,25.662839
2021-08-24,19.859952,28.601975
2021-08-25,19.318712,23.654068
2021-08-26,15.001633,16.241605
2021-08-27,15.182878,16.500046
2021-08-28,19.49778,26.507853
2021-08-29,13.610639,19.538998
2021-08-30,36.790844,39.142288
2021-08-31,14.044287,13.038441
2021-09-01,23.555707,24.390829
2021-09-02,21.145713,22.70222
